GR_ID,PO_ID,Actual_Delivery_Date,Quantity_Received,Defect_Qty
GR00182,PO00182,2023-03-02,405,3
GR00183,PO00183,2022-12-22,459,21
GR00184,PO00184,2024-11-18,388,5
GR00185,PO00185,2023-05-10,163,0
GR00186,PO00186,2023-01-31,227,3
GR00187,PO00187,2023-03-19,84,0
GR00188,PO00188,2023-10-06,660,7
GR00189,PO00189,2022-08-09,401,1
GR00190,PO00190,2024-11-22,491,8
GR00191,PO00191,2024-10-30,167,7
GR00192,PO00192,2023-04-25,970,9
GR00193,PO00193,2024-01-02,306,2
GR00194,PO00194,2023-06-09,771,26
GR00195,PO00195,2022-05-06,46,0
GR00196,PO00196,2022-02-08,997,7
GR00197,PO00197,2023-12-25,752,4
GR00198,PO00198,2024-09-11,421,5
GR00199,PO00199,2024-06-10,117,0
GR00200,PO00200,2022-06-11,688,9
GR00201,PO00201,2022-05-12,724,13
GR00202,PO00202,2024-05-10,782,10
GR00203,PO00203,2022-12-22,569,9
GR00204,PO00204,2024-03-18,728,11
GR00205,PO00205,2023-03-10,383,4
GR00206,PO00206,2022-08-20,759,9
GR00207,PO00207,2023-07-12,615,11
GR00208,PO00208,2022-05-13,245,4
GR00209,PO00209,2023-02-06,726,6
GR00210,PO00210,2023-08-11,740,7
GR00211,PO00211,2023-04-01,679,13
GR00212,PO00212,2022-09-26,461,2
GR00213,PO00213,2023-12-05,360,4
GR00214,PO00214,2024-05-06,260,4
GR00215,PO00215,2025-01-12,851,2
GR00216,PO00216,2023-04-30,522,7
GR00217,PO00217,2024-08-20,502,3
GR00218,PO00218,2024-11-11,571,4
GR00219,PO00219,2024-04-14,858,8
GR00220,PO00220,2022-01-29,722,2
GR00221,PO00221,2024-11-13,335,2
GR00222,PO00222,2024-06-12,728,21
GR00223,PO00223,2023-04-23,144,1
GR00224,PO00224,2024-11-05,737,2
GR00225,PO00225,2022-07-02,277,5
GR00226,PO00226,2022-08-22,197,2
GR00227,PO00227,2023-02-22,95,0
GR00228,PO00228,2022-07-10,534,2
GR00229,PO00229,2022-07-08,514,3
GR00230,PO00230,2024-06-03,952,9
GR00231,PO00231,2022-09-21,782,9
GR00232,PO00232,2023-03-13,553,6
GR00233,PO00233,2023-04-07,296,4
GR00234,PO00234,2024-08-17,719,14
GR00235,PO00235,2022-12-19,961,16
GR00236,PO00236,2023-07-17,842,7
GR00237,PO00237,2022-11-27,269,1
GR00238,PO00238,2024-12-18,871,8
GR00239,PO00239,2024-10-06,522,5
GR00240,PO00240,2023-03-13,615,8
GR00241,PO00241,2024-03-05,985,3
GR00242,PO00242,2024-02-26,515,5
GR00243,PO00243,2023-02-19,869,5
GR00244,PO00244,2022-04-04,728,11
GR00245,PO00245,2022-06-21,622,7
GR00246,PO00246,2024-10-01,818,12
GR00247,PO00247,2023-11-01,675,8
GR00248,PO00248,2023-04-14,486,18
GR00249,PO00249,2022-03-16,966,5
GR00250,PO00250,2022-01-21,808,5
GR00251,PO00251,2023-06-14,509,3
GR00252,PO00252,2022-08-21,814,5
GR00253,PO00253,2024-09-27,909,3
GR00254,PO00254,2023-03-07,833,7
GR00255,PO00255,2022-10-07,545,3
GR00256,PO00256,2023-11-28,326,0
GR00257,PO00257,2024-05-15,127,1
GR00258,PO00258,2023-11-14,290,1
GR00259,PO00259,2024-06-16,388,6
GR00260,PO00260,2022-02-03,962,9
GR00261,PO00261,2022-07-08,131,1
GR00262,PO00262,2022-05-22,203,2
GR00263,PO00263,2024-12-21,441,4
GR00264,PO00264,2022-09-14,771,15
GR00265,PO00265,2024-05-23,115,1
GR00266,PO00266,2022-03-18,464,3
GR00267,PO00267,2023-08-06,602,6
GR00268,PO00268,2024-07-12,471,2
GR00269,PO00269,2024-06-01,257,4
GR00270,PO00270,2022-09-10,445,2
GR00271,PO00271,2023-11-04,925,4
GR00272,PO00272,2022-08-01,536,7
GR00273,PO00273,2022-03-30,410,4
GR00274,PO00274,2023-05-19,821,5
GR00275,PO00275,2023-08-03,919,15
GR00276,PO00276,2022-03-24,601,10
GR00277,PO00277,2023-07-23,865,16
GR00278,PO00278,2022-12-07,549,10
GR00279,PO00279,2024-12-10,327,5
GR00280,PO00280,2023-02-08,542,3
GR00281,PO00281,2024-11-08,448,1
GR00282,PO00282,2022-06-16,732,10
GR00283,PO00283,2023-07-31,786,10
GR00284,PO00284,2024-06-04,907,8
GR00285,PO00285,2023-10-11,987,9
GR00286,PO00286,2024-09-21,687,7
GR00287,PO00287,2022-09-08,76,0
GR00288,PO00288,2023-01-29,652,11
GR00289,PO00289,2022-09-17,130,0
GR00290,PO00290,2022-10-17,184,1
GR00291,PO00291,2023-10-18,231,4
GR00292,PO00292,2022-03-10,315,4
GR00293,PO00293,2022-10-21,383,2
GR00294,PO00294,2023-06-26,511,3
GR00295,PO00295,2023-10-19,395,7
GR00296,PO00296,2024-11-21,332,2
GR00297,PO00297,2023-02-10,306,3
GR00298,PO00298,2023-02-26,530,7
GR00299,PO00299,2022-09-12,815,0
GR00300,PO00300,2025-01-04,102,1
GR00301,PO00301,2022-07-18,276,5
GR00302,PO00302,2023-09-07,846,14
GR00303,PO00303,2022-03-28,817,27
GR00304,PO00304,2024-01-08,300,0
GR00305,PO00305,2023-01-04,908,9
GR00306,PO00306,2022-11-15,686,2
GR00307,PO00307,2024-01-06,290,5
GR00308,PO00308,2023-07-26,534,8
GR00309,PO00309,2023-05-15,627,10
GR00310,PO00310,2023-01-16,524,8
GR00311,PO00311,2023-01-11,832,16
GR00312,PO00312,2022-03-11,221,5
GR00313,PO00313,2024-11-21,843,10
GR00314,PO00314,2022-11-12,365,2
GR00315,PO00315,2023-10-05,639,3
GR00316,PO00316,2023-06-02,369,1
GR00317,PO00317,2023-03-20,454,4
GR00318,PO00318,2022-05-14,122,0
GR00319,PO00319,2023-03-20,149,0
GR00320,PO00320,2023-07-20,917,13
GR00321,PO00321,2024-10-20,863,4
GR00322,PO00322,2024-04-07,405,19
GR00323,PO00323,2023-09-23,487,8
GR00324,PO00324,2024-12-30,116,2
GR00325,PO00325,2024-05-14,710,17
GR00326,PO00326,2023-06-11,58,0
GR00327,PO00327,2022-03-10,887,7
GR00328,PO00328,2022-07-17,154,1
GR00329,PO00329,2023-02-26,417,3
GR00330,PO00330,2022-10-19,770,5
GR00331,PO00331,2024-07-11,490,7
GR00332,PO00332,2023-03-03,801,8
GR00333,PO00333,2022-03-31,713,5
GR00334,PO00334,2022-07-09,675,6
GR00335,PO00335,2024-07-26,841,15
GR00336,PO00336,2023-11-20,526,5
GR00337,PO00337,2023-07-07,892,1
GR00338,PO00338,2023-05-23,379,6
GR00339,PO00339,2023-11-20,897,0
GR00340,PO00340,2024-08-11,331,4
GR00341,PO00341,2024-03-12,299,2
GR00342,PO00342,2022-07-14,633,11
GR00343,PO00343,2023-09-03,394,7
GR00344,PO00344,2024-06-22,553,1
GR00345,PO00345,2022-11-11,233,4
GR00346,PO00346,2023-02-14,262,4
GR00347,PO00347,2022-04-05,863,25
GR00348,PO00348,2023-12-05,393,2
GR00349,PO00349,2022-01-27,947,9
GR00350,PO00350,2024-04-12,616,9
GR00351,PO00351,2024-05-09,575,9
GR00352,PO00352,2024-12-23,133,0
GR00353,PO00353,2024-11-16,786,3
GR00354,PO00354,2022-11-24,545,8
GR00355,PO00355,2023-07-28,755,2
GR00356,PO00356,2023-11-14,710,4
GR00357,PO00357,2022-05-04,503,3
GR00358,PO00358,2024-11-04,142,0
GR00359,PO00359,2023-06-15,272,3
GR00360,PO00360,2024-09-23,756,15
GR00361,PO00361,2023-05-12,361,0
GR00362,PO00362,2024-12-06,529,13
GR00363,PO00363,2022-08-12,399,2
GR00364,PO00364,2023-04-25,812,6
GR00365,PO00365,2024-03-04,410,2
GR00366,PO00366,2023-05-15,326,5
GR00367,PO00367,2024-11-24,303,3
GR00368,PO00368,2023-10-09,171,2
GR00369,PO00369,2023-06-12,369,5
GR00370,PO00370,2023-10-15,809,9
GR00371,PO00371,2024-12-31,826,11
GR00372,PO00372,2023-04-21,244,1
GR00373,PO00373,2024-06-09,804,13
GR00374,PO00374,2022-07-28,332,6
GR00375,PO00375,2022-11-21,658,6
GR00376,PO00376,2023-11-04,147,2
GR00377,PO00377,2024-11-18,351,5
GR00378,PO00378,2023-08-27,419,5
GR00379,PO00379,2024-12-07,354,3
GR00380,PO00380,2022-10-18,774,15
GR00381,PO00381,2024-08-23,176,1
GR00382,PO00382,2024-06-29,92,0
GR00383,PO00383,2023-05-12,614,5
GR00384,PO00384,2023-10-08,760,9
GR00385,PO00385,2024-05-25,699,13
GR00386,PO00386,2022-01-15,151,1
GR00387,PO00387,2023-05-09,632,4
GR00388,PO00388,2023-04-05,529,8
GR00389,PO00389,2022-12-07,497,8
GR00390,PO00390,2023-11-09,234,3
GR00391,PO00391,2024-07-19,308,3
GR00392,PO00392,2024-08-15,162,2
GR00393,PO00393,2024-11-04,456,7
GR00394,PO00394,2023-05-30,125,1
GR00395,PO00395,2024-01-22,200,1
GR00396,PO00396,2023-12-14,875,12
GR00397,PO00397,2023-12-09,133,1
GR00398,PO00398,2024-11-26,169,0
GR00399,PO00399,2022-12-18,667,12
GR00400,PO00400,2024-03-16,840,9
GR00401,PO00401,2024-02-02,436,8
GR00402,PO00402,2022-09-29,978,6
GR00403,PO00403,2024-10-26,349,2
GR00404,PO00404,2022-05-29,361,2
GR00405,PO00405,2023-04-15,674,9
GR00406,PO00406,2024-04-04,830,13
GR00407,PO00407,2024-11-22,689,8
GR00408,PO00408,2024-10-10,319,6
GR00409,PO00409,2024-08-28,205,3
GR00410,PO00410,2023-06-16,226,0
GR00411,PO00411,2022-06-16,210,3
GR00412,PO00412,2023-01-21,466,9
GR00413,PO00413,2024-11-18,755,13
GR00414,PO00414,2023-05-12,343,5
GR00415,PO00415,2023-01-12,286,7
GR00416,PO00416,2022-11-24,771,7
GR00417,PO00417,2022-08-30,765,11
GR00418,PO00418,2022-02-22,117,1
GR00419,PO00419,2022-03-26,991,12
GR00420,PO00420,2023-02-12,856,8
GR00421,PO00421,2024-02-02,482,7
GR00422,PO00422,2024-09-01,602,3
GR00423,PO00423,2022-05-05,713,12
GR00424,PO00424,2024-01-01,978,17
GR00425,PO00425,2023-10-26,893,12
GR00426,PO00426,2024-09-29,118,0
GR00427,PO00427,2024-07-12,216,3
GR00428,PO00428,2022-11-25,655,6
GR00429,PO00429,2024-12-30,494,3
GR00430,PO00430,2023-09-17,527,10
GR00431,PO00431,2024-02-28,761,13
GR00432,PO00432,2023-10-10,325,5
GR00433,PO00433,2023-02-20,602,13
GR00434,PO00434,2022-09-06,493,8
GR00435,PO00435,2024-10-27,660,6
GR00436,PO00436,2025-01-09,957,33
GR00437,PO00437,2022-01-24,802,7
GR00438,PO00438,2022-06-28,665,4
GR00439,PO00439,2023-11-17,75,1
GR00440,PO00440,2022-12-16,282,3
GR00441,PO00441,2022-10-06,828,4
GR00442,PO00442,2025-01-09,636,8
GR00443,PO00443,2024-04-16,826,31
GR00444,PO00444,2024-01-08,531,2
GR00445,PO00445,2022-04-17,712,12
GR00446,PO00446,2024-05-21,988,13
GR00447,PO00447,2023-02-18,231,2
GR00448,PO00448,2022-07-25,697,3
GR00449,PO00449,2023-12-29,141,2
GR00450,PO00450,2022-08-10,403,6
GR00451,PO00451,2024-01-16,391,7
GR00452,PO00452,2024-11-19,731,12
GR00453,PO00453,2024-05-04,923,15
GR00454,PO00454,2024-05-31,386,1
GR00455,PO00455,2024-08-03,758,10
GR00456,PO00456,2023-05-21,342,3
GR00457,PO00457,2023-12-19,880,4
GR00458,PO00458,2024-09-08,510,15
GR00459,PO00459,2024-03-03,371,3
GR00460,PO00460,2023-11-20,381,4
GR00461,PO00461,2024-05-27,836,9
GR00462,PO00462,2023-12-20,934,15
GR00463,PO00463,2022-10-08,890,32
GR00464,PO00464,2024-02-02,720,7
GR00465,PO00465,2023-12-16,522,5
GR00466,PO00466,2023-03-05,105,1
GR00467,PO00467,2023-02-11,576,5
GR00468,PO00468,2024-10-20,685,20
GR00469,PO00469,2023-03-20,690,12
GR00470,PO00470,2024-03-31,824,9
GR00471,PO00471,2024-02-19,255,3
GR00472,PO00472,2024-09-21,607,5
GR00473,PO00473,2023-02-03,996,10
GR00474,PO00474,2023-03-18,497,8
GR00475,PO00475,2023-11-30,173,0
GR00476,PO00476,2022-05-08,690,3
GR00477,PO00477,2023-03-30,772,2
GR00478,PO00478,2023-01-14,363,1
GR00479,PO00479,2023-03-19,615,4
GR00480,PO00480,2023-07-01,140,2
GR00481,PO00481,2023-05-24,910,16
GR00482,PO00482,2024-05-18,520,5
GR00483,PO00483,2022-06-02,710,4
GR00484,PO00484,2022-08-23,555,9
GR00485,PO00485,2022-09-11,569,10
GR00486,PO00486,2023-01-19,475,6
GR00487,PO00487,2023-08-30,530,10
GR00488,PO00488,2024-12-22,516,0
GR00489,PO00489,2022-09-20,442,8
GR00490,PO00490,2022-12-22,988,8
GR00491,PO00491,2022-05-13,813,22
GR00492,PO00492,2023-11-03,933,13
GR00493,PO00493,2023-10-17,331,1
GR00494,PO00494,2023-06-19,395,7
GR00495,PO00495,2024-05-29,319,10
GR00496,PO00496,2024-01-18,338,2
GR00497,PO00497,2023-11-03,904,11
GR00498,PO00498,2022-04-25,933,12
GR00499,PO00499,2022-12-13,505,4
GR00500,PO00500,2023-10-30,542,9
GR00501,PO00501,2023-09-29,389,12
GR00502,PO00502,2024-07-07,436,5
GR00503,PO00503,2025-01-03,374,2
GR00504,PO00504,2022-02-21,760,12
GR00505,PO00505,2024-06-22,631,0
GR00506,PO00506,2023-08-28,287,3
GR00507,PO00507,2024-01-31,90,1
GR00508,PO00508,2022-01-24,807,12
GR00509,PO00509,2023-07-15,768,11
GR00510,PO00510,2023-04-24,442,8
GR00511,PO00511,2023-09-20,557,7
GR00512,PO00512,2023-11-15,176,6
GR00513,PO00513,2024-05-25,653,21
GR00514,PO00514,2024-05-04,936,12
GR00515,PO00515,2024-08-24,943,5
GR00516,PO00516,2022-12-18,151,2
GR00517,PO00517,2024-02-22,982,14
GR00518,PO00518,2022-12-25,63,0
GR00519,PO00519,2023-03-25,465,2
GR00520,PO00520,2023-12-02,125,1
GR00521,PO00521,2024-02-06,847,6
GR00522,PO00522,2022-03-13,391,5
GR00523,PO00523,2023-09-23,711,7
GR00524,PO00524,2023-06-19,919,16
GR00525,PO00525,2024-11-12,917,15
GR00526,PO00526,2024-12-04,439,4
GR00527,PO00527,2023-10-08,689,4
GR00528,PO00528,2022-10-01,943,6
GR00529,PO00529,2024-01-10,83,0
GR00530,PO00530,2022-08-12,289,2
GR00531,PO00531,2024-09-07,281,5
GR00532,PO00532,2024-04-21,489,3
GR00533,PO00533,2022-03-10,826,13
GR00534,PO00534,2023-09-29,501,3
GR00535,PO00535,2024-07-25,755,5
GR00536,PO00536,2024-06-18,972,16
GR00537,PO00537,2024-11-03,95,0
GR00538,PO00538,2022-02-26,863,5
GR00539,PO00539,2022-06-05,348,5
GR00540,PO00540,2024-10-28,431,9
GR00541,PO00541,2023-11-13,197,0
GR00542,PO00542,2022-08-07,593,1
GR00543,PO00543,2024-01-12,625,5
GR00544,PO00544,2022-10-23,224,4
GR00545,PO00545,2022-04-07,129,1
GR00546,PO00546,2023-02-18,680,13
GR00547,PO00547,2023-08-20,556,0
GR00548,PO00548,2023-06-15,283,1
GR00549,PO00549,2022-12-12,703,7
GR00550,PO00550,2024-01-02,516,4
GR00551,PO00551,2023-06-19,731,5
GR00552,PO00552,2023-07-01,965,6
GR00553,PO00553,2023-08-26,968,13
GR00554,PO00554,2023-03-23,738,13
GR00555,PO00555,2023-11-01,210,3
GR00556,PO00556,2023-02-20,499,3
GR00557,PO00557,2022-06-03,647,25
GR00558,PO00558,2024-01-27,702,13
GR00559,PO00559,2022-02-15,751,2
GR00560,PO00560,2024-05-12,516,7
GR00561,PO00561,2022-04-11,249,3
GR00562,PO00562,2023-07-08,921,18
GR00563,PO00563,2022-12-27,155,3
GR00564,PO00564,2024-10-17,440,1
GR00565,PO00565,2022-05-23,636,23
GR00566,PO00566,2024-10-23,765,8
GR00567,PO00567,2022-03-23,69,0
GR00568,PO00568,2022-03-14,328,3
GR00569,PO00569,2023-02-15,624,11
GR00570,PO00570,2022-12-05,978,16
GR00571,PO00571,2022-02-14,902,15
GR00572,PO00572,2024-09-10,840,12
GR00573,PO00573,2022-09-07,667,9
GR00574,PO00574,2023-02-09,270,8
GR00575,PO00575,2022-08-10,683,5
GR00576,PO00576,2024-01-31,743,8
GR00577,PO00577,2024-12-01,690,13
GR00578,PO00578,2022-07-24,975,11
GR00579,PO00579,2024-06-28,366,7
GR00580,PO00580,2022-12-13,80,1
GR00581,PO00581,2024-01-29,797,23
GR00582,PO00582,2025-01-21,142,2
GR00583,PO00583,2023-02-20,383,6
GR00584,PO00584,2023-08-17,225,2
GR00585,PO00585,2022-10-13,181,3
GR00586,PO00586,2024-08-09,942,13
GR00587,PO00587,2024-08-31,593,21
GR00588,PO00588,2022-07-31,983,31
GR00589,PO00589,2022-10-06,895,5
GR00590,PO00590,2023-05-15,309,2
GR00591,PO00591,2022-07-02,873,6
GR00592,PO00592,2024-07-05,813,12
GR00593,PO00593,2022-02-15,872,10
GR00594,PO00594,2023-05-25,529,8
GR00595,PO00595,2024-07-08,193,1
GR00596,PO00596,2024-12-01,930,13
GR00597,PO00597,2023-08-31,915,17
GR00598,PO00598,2023-10-10,142,6
GR00599,PO00599,2022-11-30,62,0
GR00600,PO00600,2022-05-24,598,11
GR00601,PO00601,2024-08-03,512,9
GR00602,PO00602,2025-01-07,734,18
GR00603,PO00603,2024-09-26,646,9
GR00604,PO00604,2023-01-25,887,13
GR00605,PO00605,2022-07-18,155,4
GR00606,PO00606,2025-01-02,529,9
GR00607,PO00607,2023-04-19,681,1
GR00608,PO00608,2024-12-14,986,9
GR00609,PO00609,2024-08-05,711,11
GR00610,PO00610,2022-08-01,695,3
GR00611,PO00611,2024-06-14,978,5
GR00612,PO00612,2022-03-26,713,10
GR00613,PO00613,2023-07-14,169,2
GR00614,PO00614,2024-05-02,93,1
GR00615,PO00615,2023-11-24,359,9
GR00616,PO00616,2024-11-07,166,3
GR00617,PO00617,2023-08-28,285,4
GR00618,PO00618,2022-04-30,186,1
GR00619,PO00619,2024-03-07,512,9
GR00620,PO00620,2024-11-02,733,31
GR00621,PO00621,2023-06-30,478,8
GR00622,PO00622,2022-02-09,953,12
GR00623,PO00623,2023-11-05,720,4
GR00624,PO00624,2024-02-28,903,11
GR00625,PO00625,2022-06-27,677,3
GR00626,PO00626,2023-11-26,331,2
GR00627,PO00627,2023-08-13,752,20
GR00628,PO00628,2024-10-19,271,9
GR00629,PO00629,2023-12-25,505,7
GR00630,PO00630,2022-09-04,920,3
GR00631,PO00631,2023-12-13,151,3
GR00632,PO00632,2022-11-02,605,18
GR00633,PO00633,2024-04-18,111,3
GR00634,PO00634,2024-11-05,329,1
GR00635,PO00635,2023-03-17,171,3
GR00636,PO00636,2024-08-27,138,1
GR00637,PO00637,2024-05-11,702,7
GR00638,PO00638,2024-01-30,98,0
GR00639,PO00639,2023-12-30,295,5
GR00640,PO00640,2023-12-06,854,7
GR00641,PO00641,2024-08-03,118,1
GR00642,PO00642,2023-03-17,650,4
GR00643,PO00643,2023-06-12,882,11
GR00644,PO00644,2023-01-30,381,6
GR00645,PO00645,2022-06-06,856,9
GR00646,PO00646,2023-03-30,333,5
GR00647,PO00647,2023-12-25,183,0
GR00648,PO00648,2023-01-29,302,3
GR00649,PO00649,2024-01-05,157,2
GR00650,PO00650,2024-06-09,184,0
GR00651,PO00651,2024-08-26,413,6
GR00652,PO00652,2024-11-14,648,0
GR00653,PO00653,2023-08-28,61,0
GR00654,PO00654,2023-06-21,317,4
GR00655,PO00655,2022-03-12,174,1
GR00656,PO00656,2024-03-01,587,7
GR00657,PO00657,2023-06-16,811,10
GR00658,PO00658,2022-10-31,532,3
GR00659,PO00659,2024-02-08,843,6
GR00660,PO00660,2022-12-30,573,26
GR00661,PO00661,2023-08-04,510,2
GR00662,PO00662,2023-03-10,273,5
