PO_ID,Supplier_ID,Order_Date,Expected_Delivery_Date,Quantity_Ordered,GR_ID,Actual_Delivery_Date,Quantity_Received,Defect_Qty,Supplier_Name,Base_Price,Category,Region,Delay_Days,Lead_Time_Days,Fill_Rate,Defect_Rate,Is_Late,Order_Year,Order_Month,Order_Quarter,Supplier_Avg_LT,Supplier_Late_Rate,Supplier_Late_Severity,Supplier_Defect_Rate,Supplier_Reliability,Expected_Lead_Time
PO05601,SUP032,2022-01-09,2022-01-23,359,GR05601,2022-01-23,356,6,PT Zulaika,130.85,Packaging,Domestic,0,14,0.9916434540389972,0.0168539325842696,0,2022,1,1,16.0,0.5,2.0,0.00738457803374645,0.5,14
PO05038,SUP022,2022-01-09,2022-01-16,922,GR05038,2022-01-20,922,14,PT Pradana (Persero) Tbk,140.82,Food,Europe,4,11,1.0,0.0151843817787418,1,2022,1,1,10.0,1.0,3.0,0.0095969289827255,0.0,7
PO06846,SUP027,2022-01-09,2022-01-30,815,GR06846,2022-01-30,814,14,Perum Wacana Tarihoran (Persero) Tbk,412.68,Electronic,Domestic,0,21,0.9987730061349692,0.0171990171990172,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO05164,SUP029,2022-01-10,2022-01-17,510,GR05164,2022-01-19,509,3,PT Mangunsong,439.42,Food,Europe,2,9,0.9980392156862744,0.005893909626719,1,2022,1,1,9.0,0.3333333333333333,2.0,0.011923320384074634,0.6666666666666667,7
PO02816,SUP028,2022-01-10,2022-01-24,539,GR02816,2022-01-26,537,2,Perum Lailasari Iswahyudi,141.19,Packaging,Asia,2,16,0.9962894248608536,0.0037243947858473,1,2022,1,1,16.0,0.6666666666666666,2.0,0.0040522503265645006,0.33333333333333337,14
PO01431,SUP031,2022-01-10,2022-01-20,327,GR01431,2022-01-21,325,4,PD Riyanti Hastuti Tbk,234.84,Services,Europe,1,11,0.9938837920489296,0.0123076923076923,1,2022,1,1,10.0,0.0,0.0,0.0106609808102345,1.0,10
PO03736,SUP013,2022-01-10,2022-01-31,230,GR03736,2022-02-02,229,4,PT Puspasari Sihombing Tbk,425.27,Electronic,Asia,2,23,0.9956521739130436,0.0174672489082969,1,2022,1,1,22.5,0.5,1.5,0.0078125,0.5,21
PO00508,SUP021,2022-01-10,2022-01-24,812,GR00508,2022-01-24,807,12,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,0,14,0.9938423645320196,0.0148698884758364,0,2022,1,1,14.333333333333334,0.3333333333333333,0.3333333333333333,0.008633762543488735,0.6666666666666667,14
PO06984,SUP033,2022-01-10,2022-02-04,638,GR06984,2022-02-04,633,19,UD Kusumo Tbk,138.74,Chemical,Europe,0,25,0.9921630094043888,0.0300157977883096,0,2022,1,1,26.666666666666668,1.0,1.6666666666666667,0.03656350397241084,0.0,25
PO06370,SUP032,2022-01-11,2022-01-25,493,GR06370,2022-01-25,491,2,PT Zulaika,130.85,Packaging,Domestic,0,14,0.995943204868154,0.0040733197556008,0,2022,1,1,15.333333333333334,0.3333333333333333,1.3333333333333333,0.0105410295505875,0.6666666666666667,14
PO03042,SUP032,2022-01-11,2022-01-25,834,GR03042,2022-01-25,832,15,PT Zulaika,130.85,Packaging,Domestic,0,14,0.9976019184652278,0.0180288461538461,0,2022,1,1,15.0,0.25,1.0,0.008924102101840825,0.75,14
PO05398,SUP003,2022-01-11,2022-02-01,993,GR05398,2022-02-04,992,23,Perum Anggraini,372.93,Electronic,Europe,3,24,0.998992950654582,0.0231854838709677,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO06860,SUP005,2022-01-11,2022-02-01,128,GR06860,2022-02-01,126,2,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,0.984375,0.0158730158730158,0,2022,1,1,21.0,0.0,0.0,0.0155085739265205,1.0,21
PO05759,SUP014,2022-01-11,2022-02-05,52,GR05759,2022-02-10,52,0,PT Gunawan Wijayanti,405.49,Chemical,Asia,5,30,1.0,0.0,1,2022,1,1,30.0,1.0,5.0,0.0165289256198347,0.0,25
PO02837,SUP029,2022-01-11,2022-01-18,234,GR02837,2022-01-18,229,2,PT Mangunsong,439.42,Food,Europe,0,7,0.9786324786324786,0.0087336244541484,0,2022,1,1,9.0,0.5,2.0,0.010415967694735725,0.5,7
PO02480,SUP006,2022-01-11,2022-01-18,407,GR02480,2022-01-18,402,4,Perum Napitupulu,304.99,Food,Europe,0,7,0.9877149877149876,0.0099502487562189,0,2022,1,1,7.0,0.0,0.0,0.0096153846153846,1.0,7
PO00061,SUP035,2022-01-12,2022-01-22,185,GR00061,2022-01-30,181,3,Perum Kurniawan Utami,117.47,Services,Asia,8,18,0.9783783783783784,0.0165745856353591,1,2022,1,1,12.0,1.0,2.0,0.0159362549800796,0.0,10
PO04404,SUP006,2022-01-12,2022-01-19,474,GR04404,2022-01-25,474,9,Perum Napitupulu,304.99,Food,Europe,6,13,1.0,0.0189873417721519,1,2022,1,1,7.0,0.0,0.0,0.00978281668580175,1.0,7
PO06027,SUP016,2022-01-12,2022-01-22,442,GR06027,2022-01-22,439,1,PD Setiawan,280.5,Services,Domestic,0,10,0.993212669683258,0.0022779043280182,0,2022,1,1,12.0,1.0,2.0,0.0,0.0,10
PO01490,SUP005,2022-01-12,2022-02-02,221,GR01490,2022-02-02,219,1,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,0.990950226244344,0.0045662100456621,0,2022,1,1,21.0,0.0,0.0,0.015630054575352267,1.0,21
PO07370,SUP007,2022-01-12,2022-02-06,89,GR07370,2022-02-06,85,0,CV Hassanah Rahmawati Tbk,360.85,Chemical,Domestic,0,25,0.9550561797752808,0.0,0,2022,1,1,25.0,0.0,0.0,0.0051975051975051,1.0,25
PO05543,SUP024,2022-01-12,2022-02-06,866,GR05543,2022-02-08,862,36,Perum Sihotang Prabowo,129.96,Chemical,Europe,2,27,0.9953810623556582,0.0417633410672853,1,2022,1,1,26.0,1.0,1.0,0.0277777777777777,0.0,25
PO05538,SUP001,2022-01-12,2022-02-02,368,GR05538,2022-02-02,367,5,PT Saefullah,373.36,Electronic,Domestic,0,21,0.9972826086956522,0.0136239782016348,0,2022,1,1,21.75,0.5,0.75,0.008354975637426775,0.5,21
PO05120,SUP023,2022-01-12,2022-02-02,285,GR05120,2022-02-02,284,7,PD Santoso (Persero) Tbk,321.14,Electronic,Europe,0,21,0.9964912280701754,0.0246478873239436,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,21
PO06017,SUP005,2022-01-13,2022-02-03,165,GR06017,2022-02-03,165,1,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,1.0,0.006060606060606,0,2022,1,1,21.0,0.0,0.0,0.012864093442929724,1.0,21
PO03485,SUP026,2022-01-13,2022-02-07,233,GR03485,2022-02-07,231,1,CV Prayoga Tbk,345.46,Chemical,Domestic,0,25,0.9914163090128756,0.0043290043290043,0,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO01499,SUP020,2022-01-13,2022-02-03,56,GR01499,2022-02-03,52,0,Perum Prasasta Marpaung,146.21,Electronic,Asia,0,21,0.9285714285714286,0.0,0,2022,1,1,23.0,1.0,2.0,0.0069204152249134,0.0,21
PO06566,SUP024,2022-01-13,2022-02-07,519,GR06566,2022-02-08,518,20,Perum Sihotang Prabowo,129.96,Chemical,Europe,1,26,0.9980732177263968,0.0386100386100386,1,2022,1,1,26.5,1.0,1.5,0.0347705594225315,0.0,25
PO06083,SUP004,2022-01-13,2022-02-07,274,GR06083,2022-02-13,274,2,PT Iswahyudi,299.34,Chemical,Domestic,6,31,1.0,0.0072992700729927,1,2022,1,1,18.821866666666665,0.4016,0.0,0.012489741543177777,0.5984,25
PO01116,SUP030,2022-01-13,2022-01-27,202,GR01116,2022-02-02,198,3,PD Riyanti Haryanto,331.16,Packaging,Domestic,6,20,0.9801980198019802,0.0151515151515151,1,2022,1,1,14.0,0.0,0.0,0.009009009009009,1.0,14
PO07296,SUP011,2022-01-13,2022-01-27,118,GR07296,2022-01-27,113,0,UD Situmorang,86.18,Packaging,Asia,0,14,0.9576271186440678,0.0,0,2022,1,1,18.5,0.5,4.5,0.00309405940594055,0.5,14
PO02206,SUP013,2022-01-13,2022-02-03,562,GR02206,2022-02-03,559,3,PT Puspasari Sihombing Tbk,425.27,Electronic,Asia,0,21,0.994661921708185,0.0053667262969588,0,2022,1,1,22.666666666666668,0.6666666666666666,1.6666666666666667,0.011030749636098966,0.33333333333333337,21
PO03720,SUP001,2022-01-13,2022-02-03,577,GR03720,2022-02-04,576,4,PT Saefullah,373.36,Electronic,Domestic,1,22,0.9982668977469672,0.0069444444444444,1,2022,1,1,21.6,0.4,0.6,0.00940877615026838,0.6,21
PO00220,SUP011,2022-01-13,2022-01-27,724,GR00220,2022-01-27,722,2,UD Situmorang,86.18,Packaging,Asia,0,14,0.9972375690607734,0.002770083102493,0,2022,1,1,17.0,0.3333333333333333,3.0,0.0020627062706270335,0.6666666666666667,14
PO05795,SUP022,2022-01-14,2022-01-21,972,GR05795,2022-01-21,967,14,PT Pradana (Persero) Tbk,140.82,Food,Europe,0,7,0.9948559670781894,0.014477766287487,0,2022,1,1,10.5,1.0,3.5,0.01239065538073365,0.0,7
PO05083,SUP024,2022-01-14,2022-02-08,375,GR05083,2022-02-15,375,8,Perum Sihotang Prabowo,129.96,Chemical,Europe,7,32,1.0,0.0213333333333333,1,2022,1,1,26.333333333333332,1.0,1.3333333333333333,0.0360503858183672,0.0,25
PO06156,SUP019,2022-01-14,2022-01-28,460,GR06156,2022-01-28,455,7,Perum Usada,429.11,Packaging,Domestic,0,14,0.9891304347826086,0.0153846153846153,0,2022,1,1,14.0,0.0,0.0,0.0153256704980842,1.0,14
PO04383,SUP005,2022-01-14,2022-02-04,410,GR04383,2022-02-04,405,3,CV Mayasari Suartini,55.91,Electronic,Domestic,0,21,0.9878048780487804,0.0074074074074074,0,2022,1,1,21.0,0.0,0.0,0.01150339596646498,1.0,21
PO03511,SUP007,2022-01-14,2022-02-08,383,GR03511,2022-02-08,379,3,CV Hassanah Rahmawati Tbk,360.85,Chemical,Domestic,0,25,0.9895561357702348,0.0079155672823219,0,2022,1,1,25.0,0.0,0.0,0.00259875259875255,1.0,25
PO04377,SUP027,2022-01-14,2022-02-04,998,GR04377,2022-02-07,995,14,Perum Wacana Tarihoran (Persero) Tbk,412.68,Electronic,Domestic,3,24,0.996993987975952,0.0140703517587939,1,2022,1,1,21.0,0.0,0.0,0.0171990171990172,1.0,21
PO03484,SUP006,2022-01-15,2022-01-22,486,GR03484,2022-01-22,482,3,Perum Napitupulu,304.99,Food,Europe,0,7,0.9917695473251028,0.0062240663900414,0,2022,1,1,9.0,0.3333333333333333,2.0,0.012850991714585133,0.6666666666666667,7
PO02887,SUP027,2022-01-15,2022-02-05,221,GR02887,2022-02-05,218,3,Perum Wacana Tarihoran (Persero) Tbk,412.68,Electronic,Domestic,0,21,0.986425339366516,0.0137614678899082,0,2022,1,1,22.5,0.5,1.5,0.01563468447890555,0.5,21
PO02434,SUP018,2022-01-15,2022-02-05,818,GR02434,2022-02-09,813,13,UD Zulaika Yuliarti,334.02,Electronic,Domestic,4,25,0.9938875305623472,0.015990159901599,1,2022,1,1,21.0,0.0,0.0,0.0095036958817317,1.0,21
PO06022,SUP025,2022-01-15,2022-01-25,411,GR06022,2022-01-25,411,4,PD Yuniar Haryanti (Persero) Tbk,142.27,Services,Asia,0,10,1.0,0.0097323600973236,0,2022,1,1,10.0,0.0,0.0,0.0055555555555555,1.0,10
PO00196,SUP034,2022-01-15,2022-02-09,997,GR00196,2022-02-12,997,7,CV Hasanah Adriansyah Tbk,449.93,Chemical,Asia,3,28,1.0,0.0070210631895687,1,2022,1,1,25.0,0.0,0.0,0.011049723756906,1.0,25
PO04624,SUP027,2022-01-15,2022-02-05,960,GR04624,2022-02-08,958,12,Perum Wacana Tarihoran (Persero) Tbk,412.68,Electronic,Domestic,3,24,0.9979166666666668,0.0125260960334029,1,2022,1,1,22.0,0.3333333333333333,1.0,0.015010278949239767,0.6666666666666667,21
PO03290,SUP003,2022-01-15,2022-02-05,621,GR03290,2022-02-11,619,23,Perum Anggraini,372.93,Electronic,Europe,6,27,0.996779388083736,0.0371567043618739,1,2022,1,1,24.0,1.0,3.0,0.0231854838709677,0.0,21
PO02823,SUP021,2022-01-15,2022-01-29,755,GR02823,2022-01-29,753,7,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,0,14,0.9973509933774836,0.0092961487383798,0,2022,1,1,14.25,0.25,0.25,0.01019279402657565,0.75,14
PO01083,SUP002,2022-01-15,2022-01-22,142,GR01083,2022-01-30,140,0,CV Mandala Jailani,78.37,Food,Domestic,8,15,0.9859154929577464,0.0,1,2022,1,1,7.0,0.0,0.0,0.0019132653061224,1.0,7
PO03744,SUP013,2022-01-15,2022-02-05,193,GR03744,2022-02-09,190,1,PT Puspasari Sihombing Tbk,425.27,Electronic,Asia,4,25,0.9844559585492229,0.0052631578947368,1,2022,1,1,22.25,0.5,1.25,0.009614743801313925,0.5,21
PO05719,SUP015,2022-01-16,2022-01-26,362,GR05719,2022-01-26,361,4,UD Hutapea Pradipta,71.16,Services,Europe,0,10,0.9972375690607734,0.0110803324099723,0,2022,1,1,13.0,1.0,3.0,0.0192802056555269,0.0,10
PO04696,SUP034,2022-01-16,2022-02-10,863,GR04696,2022-02-10,861,14,CV Hasanah Adriansyah Tbk,449.93,Chemical,Asia,0,25,0.9976825028968712,0.016260162601626,0,2022,1,1,26.5,0.5,1.5,0.009035393473237351,0.5,25
PO00669,SUP007,2022-01-16,2022-02-10,552,GR00669,2022-02-12,548,3,CV Hassanah Rahmawati Tbk,360.85,Chemical,Domestic,2,27,0.9927536231884058,0.0054744525547445,1,2022,1,1,25.0,0.0,0.0,0.004371024159942334,1.0,25
PO05842,SUP024,2022-01-16,2022-02-10,337,GR05842,2022-02-12,334,8,Perum Sihotang Prabowo,129.96,Chemical,Europe,2,27,0.9910979228486648,0.0239520958083832,1,2022,1,1,27.75,1.0,2.75,0.03237112269710873,0.0,25
PO00260,SUP021,2022-01-16,2022-01-30,964,GR00260,2022-01-30,962,9,PD Saputra Uyainah (Persero) Tbk,191.39,Packaging,Domestic,0,14,0.9979253112033196,0.0093555093555093,0,2022,1,1,14.2,0.2,0.2,0.010013464968936481,0.8,14
PO03137,SUP015,2022-01-17,2022-01-27,206,GR03137,2022-01-27,202,2,UD Hutapea Pradipta,71.16,Services,Europe,0,10,0.9805825242718448,0.0099009900990099,0,2022,1,1,11.5,0.5,1.5,0.015180269032749598,0.5,10
PO06009,SUP024,2022-01-17,2022-02-11,321,GR06009,2022-02-13,318,9,Perum Sihotang Prabowo,129.96,Chemical,Europe,2,27,0.9906542056074766,0.0283018867924528,1,2022,1,1,27.6,1.0,2.6,0.03068731731936362,0.0,25
PO05627,SUP008,2022-01-17,2022-02-11,821,GR05627,2022-02-13,821,13,CV Anggraini,118.02,Chemical,Asia,2,27,1.0,0.0158343483556638,1,2022,1,1,25.0,0.0,0.0,0.0176899063475546,1.0,25
PO05333,SUP032,2022-01-17,2022-01-31,353,GR05333,2022-01-31,348,3,PT Zulaika,130.85,Packaging,Domestic,0,14,0.9858356940509916,0.0086206896551724,0,2022,1,1,14.8,0.2,0.8,0.01074505091224188,0.8,14
